,city,lat,lon,temp_max,humidity,all,speed,country,date
0,Ahuimanu,21.4447,-157.8378,72.86,89,60,3.0,US,[]
1,Ossora,59.2353,163.0719,25.47,88,100,5.46,RU,[]
2,Butaritari,3.0707,172.7902,80.94,84,50,18.32,KI,[]
3,Zhangjiakou,40.81,114.8794,47.44,19,91,8.99,CN,[]
4,Acapulco,16.8634,-99.8901,80.92,54,40,0.87,MX,[]
5,Lagoa Da Prata,-20.0225,-45.5436,80.94,52,0,5.3,BR,[]
6,Xuddur,4.1213,43.8894,76.59,71,100,5.46,SO,[]
7,Georgetown,5.4112,100.3354,85.95,74,20,4.61,MY,[]
8,Veinticinco De Mayo,-35.4323,-60.1727,68.99,91,99,1.99,AR,[]
9,Mazyr,52.0495,29.2456,52.79,79,100,9.17,BY,[]
10,Vaini,-21.2,-175.2,76.89,69,69,19.08,TO,[]
11,Lebu,-37.6167,-73.65,53.4,78,75,8.95,CL,[]
12,Tasiilaq,65.6145,-37.6368,39.36,89,72,1.97,GL,[]
13,New Norfolk,-42.7826,147.0587,52.92,80,99,1.05,AU,[]
14,Hobart,-42.8794,147.3294,53.28,89,75,6.91,AU,[]
15,Hermanus,-34.4187,19.2345,66.79,60,0,12.5,ZA,[]
16,Dehloran,32.6941,47.2679,86.45,27,19,8.93,IR,[]
17,Albany,42.6001,-73.9662,53.26,71,100,3.44,US,[]
18,Dikson,73.5069,80.5464,10.18,92,100,7.78,RU,[]
19,Dinghai,26.2847,119.7936,67.77,97,100,0.49,CN,[]
20,Dunedin,-45.8742,170.5036,54.81,73,100,18.01,NZ,[]
21,Ushuaia,-54.8,-68.3,37.06,97,100,1.63,AR,[]
22,Bambous Virieux,-20.3428,57.7575,79.05,73,75,10.36,MU,[]
23,Husavik,66.0449,-17.3389,43.79,74,100,6.42,IS,[]
24,Mataura,-46.1927,168.8643,52.48,95,100,6.38,NZ,[]
25,Karungdong,5.8844,121.263,81.43,83,100,12.08,PH,[]
26,Kavieng,-2.5744,150.7967,82.85,76,16,12.15,PG,[]
27,Oriximina,-1.7656,-55.8661,80.91,85,47,4.54,BR,[]
28,Kavaratti,10.5669,72.642,86.14,69,79,7.18,IN,[]
29,Verkhnyaya Inta,65.9811,60.3094,38.46,80,100,19.35,RU,[]
30,Kenai,60.5544,-151.2583,36.03,95,80,4.7,US,[]
31,Pangnirtung,66.1451,-65.7125,-4.2,82,12,3.0,CA,[]
32,Puerto Leguizamo,-0.1934,-74.7819,79.36,82,78,1.66,CO,[]
33,Ternate,0.8,127.4,82.38,76,100,2.46,ID,[]
34,Port Hardy,50.6996,-127.4199,40.41,84,60,6.24,CA,[]
35,Barcelona,41.3888,2.159,80.15,45,20,14.97,ES,[]
36,Montevideo,-34.8335,-56.1674,72.82,77,99,11.9,UY,[]
37,Punta Arenas,-53.15,-70.9167,38.37,67,92,5.17,CL,[]
38,Cidreira,-30.1811,-50.2056,71.94,84,100,4.7,BR,[]
39,Tuktoyaktuk,69.4541,-133.0374,24.1,96,100,1.3,CA,[]
40,Samandag,36.0842,35.9771,77.36,38,0,5.39,TR,[]
41,Oktyabrskiy,54.4815,53.471,64.22,50,24,13.51,RU,[]
42,Tura,25.5198,90.2201,78.67,65,0,4.0,IN,[]
43,Faanui,-16.4833,-151.75,82.24,72,16,17.02,PF,[]
44,Smithers,54.7804,-127.1743,30.52,100,100,2.3,CA,[]
45,Longyearbyen,78.2186,15.6401,1.24,66,40,9.22,SJ,[]
46,Popondetta,-8.7537,148.2534,76.01,90,100,2.48,PG,[]
47,Nikolskoye,59.7035,30.7861,48.87,74,44,11.56,RU,[]
48,Ormara,25.2088,64.6357,82.9,80,0,18.12,PK,[]
49,Ponta Do Sol,32.6667,-17.1,68.72,74,33,8.99,PT,[]
50,Jamestown,42.097,-79.2353,47.01,67,100,9.22,US,[]
51,Upington,-28.4478,21.2561,73.51,11,2,1.54,ZA,[]
52,Kapaa,22.0752,-159.319,71.58,93,67,1.01,US,[]
53,Bluff,-46.6,168.3333,52.81,81,86,17.02,NZ,[]
54,Arraial Do Cabo,-22.9661,-42.0278,76.71,84,9,13.85,BR,[]
55,Bredasdorp,-34.5322,20.0403,66.31,48,9,11.56,ZA,[]
56,Erdenet,49.0333,104.0833,33.21,28,100,3.56,MN,[]
57,Muros,42.7762,-9.0603,62.69,84,28,11.45,ES,[]
58,Hambantota,6.1241,81.1185,82.74,94,17,2.3,LK,[]
59,Avarua,-21.2078,-159.775,77.05,94,75,6.91,CK,[]
60,Brae,60.3964,-1.353,46.0,55,26,15.01,GB,[]
61,Koutsouras,35.0339,25.9469,72.1,60,100,4.52,GR,[]
62,Busselton,-33.65,115.3333,57.85,90,100,4.61,AU,[]
63,Mar Del Plata,-38.0023,-57.5575,62.62,94,75,14.97,AR,[]
64,Yellowknife,62.456,-114.3525,33.57,69,96,11.01,CA,[]
65,Sri Aman,1.2376,111.4621,74.61,98,95,1.32,MY,[]
66,Sovetskiy,61.3614,63.5842,47.89,84,99,10.63,RU,[]
67,Kathmandu,27.7167,85.3167,79.02,36,40,6.91,NP,[]
68,Atuona,-9.8,-139.0333,77.9,79,16,22.1,PF,[]
69,Yerbogachen,61.2767,108.0108,26.19,93,91,1.25,RU,[]
70,Codrington,-38.2667,141.9667,61.3,72,100,10.13,AU,[]
71,Port Blair,11.6667,92.75,84.94,73,99,3.4,IN,[]
72,Ngunguru,-35.6167,174.5,61.2,71,80,6.26,NZ,[]
73,Cape Town,-33.9258,18.4232,73.11,55,20,24.16,ZA,[]
74,Soyo,-6.1349,12.3689,81.27,79,76,9.44,AO,[]
75,Rikitea,-23.1203,-134.9692,78.13,73,96,19.06,PF,[]
76,Morehead,37.2711,-87.1764,47.98,66,0,8.05,US,[]
77,Iqaluit,63.7506,-68.5145,-4.31,70,65,0.94,CA,[]
78,Chokurdakh,70.6333,147.9167,-5.93,100,100,4.03,RU,[]
79,Vorobyevka,50.6451,40.9245,72.91,49,0,10.54,RU,[]
80,Havre-Saint-Pierre,50.2334,-63.5986,35.96,93,100,13.8,CA,[]
81,Sidi Ali,36.0998,0.4206,65.32,70,99,11.68,DZ,[]
82,Port Alfred,-33.5906,26.891,66.18,76,7,5.99,ZA,[]
83,Upernavik,72.7868,-56.1549,23.02,73,63,6.91,GL,[]
84,Kulhudhuffushi,6.6221,73.07,85.6,69,63,4.74,MV,[]
85,Le Pradet,43.1066,6.0172,75.79,70,0,21.85,FR,[]
86,East London,-33.0153,27.9116,67.91,60,50,19.17,ZA,[]
87,Kushiro,42.975,144.3747,44.4,99,100,8.1,JP,[]
88,Half Moon Bay,37.4636,-122.4286,53.78,85,75,25.32,US,[]
89,Camaqua,-30.8511,-51.8122,75.33,78,70,5.61,BR,[]
90,Sola,-13.8833,167.55,81.03,75,100,19.66,VU,[]
91,Lasa,46.6166,10.7002,51.37,94,98,2.46,IT,[]
92,Baykit,61.67,96.37,25.43,94,70,4.79,RU,[]
93,Ilulissat,69.2167,-51.1,33.82,86,100,10.36,GL,[]
